TIME_PERIOD,Portfolio,Return
2007-08-31,"{""Market_Return"",""EU""}",-0.01593839047249786
2007-09-30,"{""Market_Return"",""EU""}",0.016384641685641587
2007-10-31,"{""Market_Return"",""EU""}",0.027427157180111236
2007-11-30,"{""Market_Return"",""EU""}",-0.05699652607908298
2007-12-31,"{""Market_Return"",""EU""}",-0.01606538904625153
2008-01-31,"{""Market_Return"",""EU""}",-0.10731072458949027
2008-02-29,"{""Market_Return"",""EU""}",0.0007821778844300664
2008-03-31,"{""Market_Return"",""EU""}",-0.03686530335704463
2008-04-30,"{""Market_Return"",""EU""}",0.06508695712253407
2008-05-31,"{""Market_Return"",""EU""}",0.011810537252105352
2008-06-30,"{""Market_Return"",""EU""}",-0.10080656150102985
2008-07-31,"{""Market_Return"",""EU""}",-0.025696596828688467
2008-08-31,"{""Market_Return"",""EU""}",0.012503735566426937
2008-09-30,"{""Market_Return"",""EU""}",-0.12242973294350122
2008-10-31,"{""Market_Return"",""EU""}",-0.12363707653826582
2008-11-30,"{""Market_Return"",""EU""}",-0.06999216619605185
2008-12-31,"{""Market_Return"",""EU""}",-0.02388876488936433
2009-01-31,"{""Market_Return"",""EU""}",-0.03540890873758262
2009-02-28,"{""Market_Return"",""EU""}",-0.08867927695300978
2009-03-31,"{""Market_Return"",""EU""}",0.016756166746149447
2009-04-30,"{""Market_Return"",""EU""}",0.1437998233316228
2009-05-31,"{""Market_Return"",""EU""}",0.06255986220114113
2009-06-30,"{""Market_Return"",""EU""}",-0.021335451338127556
2009-07-31,"{""Market_Return"",""EU""}",0.10209085904077275
2009-08-31,"{""Market_Return"",""EU""}",0.046995508324481745
2009-09-30,"{""Market_Return"",""EU""}",0.027903998751835024
2009-10-31,"{""Market_Return"",""EU""}",-0.029210173099759224
2009-11-30,"{""Market_Return"",""EU""}",0.014802734212301303
2009-12-31,"{""Market_Return"",""EU""}",0.053038174100255596
2010-01-31,"{""Market_Return"",""EU""}",-0.02305024116475897
2010-02-28,"{""Market_Return"",""EU""}",0.007535659687516957
2010-03-31,"{""Market_Return"",""EU""}",0.07216235537222017
2010-04-30,"{""Market_Return"",""EU""}",-0.005389568103763293
2010-05-31,"{""Market_Return"",""EU""}",-0.04931868503076796
