This file was created using the 202508 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Europe.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
200608   ,2.97   ,2.88   ,3.63   ,3.68   ,3.78   ,2.94
200609  ,-0.58   ,0.69   ,0.63   ,1.62   ,1.91   ,2.15
200610   ,1.76   ,3.58   ,4.28   ,4.23   ,4.57   ,5.68
200611   ,4.92   ,5.70   ,6.84   ,4.25   ,4.94   ,5.71
200612   ,2.15   ,4.11   ,5.03   ,3.05   ,4.73   ,5.88
200701   ,3.93   ,3.92   ,4.52   ,0.94   ,1.74   ,2.07
200702   ,1.34   ,1.85   ,1.45   ,0.29   ,0.31   ,0.34
200703   ,2.69   ,4.11   ,5.00   ,4.99   ,5.29   ,6.08
200704   ,4.48   ,6.06   ,7.30   ,5.72   ,5.63   ,5.79
200705   ,0.25   ,1.66   ,2.84   ,1.20   ,1.21   ,1.99
200706   ,0.91   ,1.22   ,1.08  ,-0.55  ,-1.24  ,-1.62
200707  ,-0.08  ,-0.00   ,0.82  ,-1.55  ,-1.46  ,-0.23
200708  ,-4.78  ,-4.31  ,-4.61  ,-2.00  ,-2.27  ,-2.82
200709   ,1.19   ,2.53   ,2.81   ,1.90   ,3.69   ,5.31
200710   ,0.79   ,3.43   ,4.00   ,3.36   ,4.16   ,6.13
200711  ,-7.19  ,-6.32  ,-6.46  ,-6.30  ,-4.18  ,-5.81
200712  ,-4.42  ,-2.31  ,-2.06  ,-3.88  ,-1.64  ,-1.60
200801  ,-7.20  ,-6.08  ,-7.68  ,-9.03  ,-9.13  ,-9.40
200802   ,2.80   ,3.46   ,4.34   ,1.20   ,4.48   ,4.40
200803  ,-3.69  ,-0.03   ,0.11   ,1.38   ,3.08   ,0.46
200804   ,1.61   ,1.14   ,1.89   ,2.92   ,2.94   ,3.66
200805   ,0.39   ,1.02   ,1.73  ,-0.57   ,1.66   ,2.12
200806  ,-8.45  ,-4.58  ,-2.25 ,-14.81  ,-8.58  ,-3.63
200807  ,-7.15  ,-4.73  ,-4.28  ,-3.84  ,-3.63  ,-5.95
200808  ,-5.19  ,-5.34  ,-6.05  ,-0.80  ,-3.56  ,-5.36
200809 ,-18.72 ,-13.48 ,-12.14 ,-17.14 ,-15.66 ,-15.82
200810 ,-28.72 ,-25.17 ,-20.97 ,-27.35 ,-24.73 ,-22.04
200811  ,-9.59  ,-7.60  ,-4.89  ,-8.48  ,-5.53  ,-5.07
200812  ,-0.62   ,2.86   ,5.75   ,6.38   ,8.17   ,4.27
200901  ,-2.25  ,-5.87  ,-5.18 ,-14.17 ,-10.26  ,-4.34
200902  ,-6.51  ,-5.34  ,-3.81 ,-10.27  ,-8.92  ,-6.58
200903   ,6.66   ,3.23   ,3.59  ,15.34   ,5.94   ,3.71
200904  ,29.10  ,13.04   ,6.44  ,29.37  ,16.30   ,5.74
200905  ,19.48  ,13.59  ,10.86  ,17.15  ,12.23   ,9.50
200906  ,-0.42   ,0.31   ,0.32  ,-2.78  ,-2.20  ,-0.57
200907   ,4.22   ,3.84   ,4.94  ,11.94   ,9.37   ,7.91
200908  ,10.55   ,5.87   ,4.29  ,10.95   ,5.64   ,2.78
200909   ,6.51   ,4.86   ,5.19   ,8.52   ,5.93   ,5.02
200910   ,0.38   ,1.31   ,1.16  ,-3.55  ,-2.19  ,-1.35
200911  ,-0.04   ,0.23   ,0.86   ,1.65   ,3.38   ,3.41
200912  ,-3.09  ,-2.21  ,-2.23  ,-0.08   ,0.95   ,0.93
201001  ,-1.47  ,-0.60   ,1.41  ,-3.63  ,-3.40  ,-3.38
201002  ,-3.54  ,-2.84  ,-2.58  ,-2.85  ,-1.85  ,-1.93
201003   ,1.46   ,4.48   ,5.32   ,4.62   ,7.41  ,11.07
201004  ,-0.83   ,1.49   ,2.88  ,-2.17  ,-0.73   ,0.80
201005 ,-11.48 ,-11.72 ,-11.09 ,-13.60 ,-11.45 ,-13.00
201006  ,-0.84   ,0.25   ,0.80  ,-2.12  ,-0.04  ,-0.91
201007   ,8.44   ,8.55   ,9.57  ,13.70  ,10.66  ,13.24
201008  ,-3.65  ,-3.21  ,-2.52  ,-6.33  ,-4.31  ,-3.19
201009   ,9.46  ,10.67  ,13.05   ,9.92  ,13.33  ,15.30
201010   ,4.26   ,4.59   ,5.12   ,5.86   ,4.59   ,5.00
201011  ,-7.89  ,-5.02  ,-4.44 ,-12.57  ,-6.72  ,-3.90
201012   ,7.62   ,9.15   ,9.31  ,10.71  ,10.02  ,11.66
201101   ,6.47   ,6.44   ,6.78   ,7.76   ,2.59  ,-0.52
201102   ,2.38   ,2.32   ,3.29   ,3.39   ,2.69   ,2.51
201103  ,-0.23   ,1.78   ,1.59   ,0.60   ,1.37   ,2.12
201104   ,5.32   ,7.03   ,8.64   ,5.63   ,7.71   ,9.75
201105  ,-3.89  ,-2.29  ,-2.36  ,-4.19  ,-2.66  ,-2.89
201106  ,-4.16  ,-2.51  ,-3.13  ,-4.23  ,-2.19  ,-2.03
201107  ,-1.87  ,-0.93  ,-1.40  ,-5.93  ,-3.51  ,-4.18
201108  ,-7.68  ,-6.87  ,-7.10  ,-9.06  ,-8.47 ,-10.52
201109 ,-11.74 ,-11.06 ,-10.94 ,-11.75 ,-12.03 ,-14.80
201110   ,3.01   ,6.39   ,5.63   ,9.88  ,10.24  ,10.41
201111  ,-9.21  ,-6.69  ,-5.31  ,-6.57  ,-5.88  ,-3.02
201112  ,-3.77  ,-3.30  ,-2.22  ,-4.55  ,-2.99  ,-2.01
201201  ,11.89   ,6.39   ,5.50  ,16.38   ,6.47   ,3.69
201202   ,8.68   ,5.19   ,5.94  ,10.13   ,7.46   ,6.13
201203  ,-1.08   ,1.30   ,0.83  ,-0.49   ,0.29   ,1.77
201204  ,-4.55  ,-1.23   ,1.02  ,-6.28  ,-1.01   ,2.31
201205 ,-14.04  ,-9.89  ,-9.41 ,-17.32 ,-12.55  ,-9.98
201206   ,1.74   ,2.56   ,2.22   ,8.89   ,5.22   ,4.82
201207  ,-2.59  ,-1.40  ,-0.32  ,-1.95   ,2.23   ,1.31
201208   ,4.95   ,4.08   ,3.61   ,7.01   ,3.58   ,4.29
201209   ,4.67   ,3.34   ,4.30   ,3.07   ,4.06   ,4.37
201210   ,0.07   ,1.07   ,1.53   ,1.02   ,1.65   ,1.82
201211  ,-1.57   ,0.22  ,-0.33  ,-0.24   ,2.84   ,1.54
201212   ,4.77   ,4.77   ,4.13   ,5.16   ,3.50   ,2.48
201301   ,9.01   ,6.89   ,6.77   ,6.47   ,5.55   ,6.02
201302  ,-3.95  ,-1.39  ,-0.91  ,-4.68  ,-0.90   ,0.71
201303  ,-3.49  ,-0.72  ,-1.35  ,-2.66  ,-0.43   ,0.08
201304   ,0.52   ,3.17   ,3.70   ,4.28   ,3.75   ,4.35
201305   ,0.47   ,0.76   ,0.92   ,1.18   ,1.22   ,1.68
201306  ,-2.56  ,-1.52  ,-1.73  ,-5.59  ,-4.26  ,-4.02
201307   ,3.04   ,5.27   ,6.83   ,6.87   ,8.23  ,10.44
201308   ,4.58   ,2.31   ,3.23   ,1.17  ,-0.97  ,-2.04
201309   ,7.15   ,6.51   ,9.38   ,5.90   ,6.68   ,8.28
201310   ,3.32   ,4.85   ,5.49   ,3.77   ,4.56   ,6.31
201311   ,1.23   ,2.08   ,4.43  ,-0.18   ,2.09   ,1.54
201312   ,1.48   ,2.50   ,2.80   ,1.37   ,3.01   ,3.85
201401   ,1.82   ,3.11   ,3.29  ,-3.22  ,-3.27  ,-0.42
201402   ,5.82   ,6.18   ,7.41   ,7.12   ,8.20   ,9.81
201403  ,-1.37   ,1.30   ,0.27   ,0.33  ,-0.28  ,-1.53
201404   ,0.82   ,1.46  ,-0.02   ,3.08   ,0.81  ,-1.53
201405  ,-0.93  ,-0.28  ,-0.43   ,0.36   ,1.17   ,0.23
201406   ,0.77   ,0.81   ,0.16  ,-0.59   ,0.03  ,-1.17
201407  ,-3.18  ,-2.83  ,-4.20  ,-4.39  ,-4.46  ,-4.87
201408  ,-2.62  ,-1.18  ,-0.76  ,-0.28  ,-0.60  ,-0.29
201409  ,-5.53  ,-4.97  ,-3.65  ,-5.88  ,-4.38  ,-4.04
201410  ,-7.30  ,-3.47  ,-4.53  ,-2.90  ,-1.28  ,-2.67
201411  ,-0.97   ,0.43  ,-0.33   ,2.56   ,2.36   ,2.35
201412  ,-5.43  ,-2.16  ,-1.84  ,-3.82  ,-2.49  ,-2.42
201501  ,-4.53  ,-3.29  ,-2.78  ,-3.07   ,0.27   ,0.83
201502   ,5.85   ,3.72   ,4.86   ,8.93   ,5.99   ,5.81
201503  ,-4.11  ,-1.55  ,-1.17  ,-2.77  ,-1.98  ,-2.37
201504   ,7.01   ,6.52   ,6.81   ,6.88   ,4.60   ,4.18
201505   ,0.23   ,0.57   ,2.12  ,-1.32   ,0.34   ,1.97
201506  ,-0.36   ,0.39   ,0.00  ,-3.38  ,-2.06  ,-2.21
201507  ,-0.95   ,1.82   ,2.74   ,0.09   ,2.38   ,3.06
201508  ,-2.61  ,-1.17  ,-0.20  ,-6.00  ,-4.73  ,-4.45
201509  ,-3.66  ,-2.32  ,-0.99  ,-6.55  ,-2.89  ,-2.77
201510   ,1.64   ,2.23   ,3.35   ,6.54   ,5.89   ,5.08
201511  ,-4.85  ,-2.43  ,-0.17  ,-2.36  ,-0.68   ,0.46
201512  ,-0.16   ,2.67   ,3.14  ,-3.59  ,-0.43   ,1.08
201601  ,-5.32  ,-4.75  ,-6.06  ,-8.14  ,-6.86  ,-6.87
201602  ,-1.45  ,-0.51  ,-1.12   ,1.02  ,-1.37  ,-1.33
201603   ,8.76   ,7.58   ,8.40   ,8.67   ,7.31   ,6.87
201604   ,5.06   ,3.59   ,2.76   ,4.70   ,1.21   ,0.39
201605  ,-2.43  ,-1.47   ,0.09  ,-3.06  ,-0.29   ,2.76
201606  ,-9.24  ,-4.69  ,-3.86 ,-10.14  ,-6.33  ,-3.17
201607   ,4.25   ,3.56   ,6.73   ,6.38   ,5.31   ,5.10
201608   ,3.29   ,2.63   ,2.96   ,3.00   ,0.45   ,0.40
201609   ,0.69   ,2.21   ,2.73  ,-0.72   ,1.23   ,2.66
201610  ,-3.32  ,-2.95  ,-1.79  ,-2.99  ,-3.66  ,-3.86
201611  ,-1.76  ,-1.32  ,-2.03  ,-1.69  ,-3.10  ,-3.41
201612   ,3.22   ,2.82   ,2.98   ,5.89   ,4.36   ,2.44
201701   ,7.95   ,5.85   ,8.89   ,2.40   ,3.85   ,4.88
201702  ,-1.44   ,0.15   ,1.59   ,1.28   ,0.73   ,0.24
201703   ,2.45   ,2.82   ,1.94   ,4.63   ,4.45   ,4.01
201704   ,3.94   ,5.38   ,5.62   ,5.19   ,5.74   ,6.37
201705   ,3.24   ,5.51   ,6.18   ,5.43   ,5.29   ,3.86
201706   ,1.45   ,3.23   ,1.94  ,-1.23   ,0.13  ,-0.33
201707   ,3.60   ,4.82   ,5.27   ,3.25   ,3.59   ,5.58
201708  ,-0.62  ,-0.06   ,0.38   ,0.41   ,0.75   ,0.35
201709   ,1.51   ,2.05   ,2.55   ,2.79   ,3.11   ,2.82
201710  ,-0.82  ,-0.86  ,-0.07   ,0.08   ,0.72   ,1.40
201711  ,-0.38   ,1.01   ,0.96  ,-0.25   ,0.54  ,-0.97
201712   ,2.55   ,1.99   ,2.08   ,3.10   ,2.04   ,1.35
201801   ,8.11   ,7.10   ,9.85   ,4.77   ,6.71   ,6.58
201802  ,-4.63  ,-3.72  ,-3.24  ,-4.09  ,-4.29  ,-4.71
201803  ,-2.20  ,-0.35  ,-0.94  ,-0.95  ,-0.64  ,-0.41
201804   ,0.22   ,0.19   ,0.58   ,2.59   ,1.18   ,2.13
201805  ,-2.09  ,-1.73  ,-2.27  ,-2.26  ,-2.51  ,-0.80
201806  ,-2.25  ,-0.84  ,-0.67  ,-1.05  ,-0.61  ,-1.70
201807   ,0.19   ,0.75   ,1.37   ,2.64   ,2.25   ,2.88
201808  ,-1.37  ,-1.64  ,-0.75  ,-3.10  ,-1.65   ,0.29
201809  ,-1.05   ,0.11  ,-0.00  ,-0.04  ,-0.47  ,-0.66
201810 ,-10.63  ,-7.82  ,-9.52  ,-9.16  ,-8.38  ,-9.64
201811  ,-3.71  ,-1.89  ,-1.95  ,-0.48  ,-1.45  ,-4.09
201812  ,-6.18  ,-2.17  ,-2.75  ,-6.38  ,-3.67  ,-3.91
201901   ,8.62   ,4.61   ,5.59   ,8.96   ,6.92   ,7.30
201902   ,0.56   ,0.68   ,1.30   ,3.79   ,2.76   ,1.73
201903  ,-2.24  ,-0.80   ,0.43  ,-2.81  ,-0.25   ,3.16
201904   ,3.95   ,2.31   ,3.60   ,8.10   ,3.79   ,2.33
201905  ,-5.40  ,-2.36   ,0.05 ,-11.02  ,-5.28  ,-1.54
201906   ,3.33   ,3.25   ,4.50   ,7.01   ,5.75   ,5.99
201907  ,-1.94  ,-2.52  ,-1.45  ,-3.19  ,-2.79  ,-1.17
201908  ,-4.00  ,-2.32  ,-1.38  ,-4.42  ,-1.38  ,-1.35
201909   ,0.44   ,0.83   ,1.20   ,3.71   ,2.55   ,1.21
201910   ,2.34   ,3.72   ,3.50   ,5.19   ,4.35   ,3.31
201911   ,1.76   ,2.10   ,3.57   ,1.97   ,2.20   ,2.82
201912   ,5.69   ,6.06   ,5.30   ,4.16   ,4.12   ,5.39
202001  ,-0.10   ,0.29   ,2.18  ,-4.22  ,-2.02  ,-0.75
202002  ,-8.41  ,-7.40 ,-10.10  ,-8.86  ,-8.64  ,-8.19
202003 ,-19.61 ,-17.97 ,-16.38 ,-22.35 ,-16.34 ,-15.87
202004  ,17.77   ,9.87  ,13.59   ,7.19   ,8.20   ,8.87
202005   ,6.27   ,4.88   ,5.87   ,4.90   ,7.37   ,7.25
202006   ,5.33   ,3.38   ,5.33   ,3.46   ,3.10   ,3.15
202007   ,6.98   ,7.47  ,11.42   ,1.50   ,6.27   ,7.06
202008   ,8.94   ,6.99   ,9.45   ,7.56   ,5.32   ,6.60
202009  ,-3.42  ,-2.12  ,-1.16  ,-5.81  ,-1.76  ,-0.79
202010  ,-3.07  ,-2.38  ,-2.50  ,-4.25  ,-4.98  ,-3.89
202011  ,23.82  ,11.59  ,13.46  ,29.79  ,13.97   ,9.61
202012   ,9.63   ,8.93  ,12.99   ,6.77   ,5.47   ,7.31
202101   ,3.33   ,2.40   ,4.21  ,-1.71  ,-1.00   ,0.40
202102   ,6.88   ,4.49   ,5.91   ,6.18   ,1.90   ,0.45
202103   ,3.10   ,2.27   ,1.14   ,2.78   ,2.97   ,1.64
202104   ,5.83   ,7.78   ,7.64   ,4.34   ,5.80   ,5.89
202105   ,2.85   ,4.06   ,2.65   ,3.29   ,4.44   ,4.46
202106  ,-2.83  ,-1.77  ,-1.79  ,-1.35  ,-2.71  ,-3.29
202107  ,-0.43   ,1.50   ,1.55   ,1.79   ,2.55   ,3.78
202108   ,0.49   ,2.50   ,3.20   ,1.89   ,1.11   ,1.84
202109  ,-3.83  ,-2.63  ,-3.96  ,-5.59  ,-4.46  ,-5.59
202110  ,-0.17   ,2.24   ,3.12   ,1.42   ,4.42   ,4.53
202111  ,-6.04  ,-4.86  ,-5.25  ,-3.85  ,-4.61  ,-5.76
202112   ,1.48   ,3.22   ,3.57   ,4.35   ,5.46   ,4.68
202201  ,-4.87  ,-3.20  ,-5.11  ,-4.24  ,-4.92  ,-9.32
202202  ,-6.35  ,-4.25  ,-4.97  ,-3.44  ,-3.71  ,-4.97
202203   ,0.47   ,1.00   ,2.67  ,-4.56  ,-0.26   ,0.93
202204  ,-8.02  ,-4.80  ,-5.23  ,-6.95  ,-5.47  ,-6.02
202205  ,-2.23   ,0.01   ,0.36   ,2.31   ,0.67  ,-0.55
202206 ,-12.82  ,-8.12  ,-9.11 ,-15.03 ,-11.61  ,-9.61
202207   ,2.21   ,1.22   ,2.80   ,6.20   ,6.62   ,2.43
202208  ,-6.16  ,-4.10  ,-1.94  ,-9.64  ,-7.07  ,-3.67
202209 ,-15.17 ,-10.60  ,-9.49 ,-14.27 ,-10.02  ,-9.52
202210   ,3.40   ,3.66   ,4.86   ,8.40   ,8.23   ,6.42
202211   ,8.82   ,7.94   ,7.04  ,15.07  ,11.65  ,10.41
202212  ,-1.65   ,1.94   ,2.53  ,-0.93   ,0.04   ,0.71
202301   ,9.40   ,4.67   ,4.98  ,12.32   ,8.73   ,6.10
202302  ,-2.91  ,-1.77   ,0.39  ,-1.07  ,-0.00  ,-0.57
202303  ,-3.78   ,0.37   ,0.14   ,0.16   ,2.04  ,-0.77
202304   ,1.22   ,2.76   ,2.02   ,3.80   ,3.14   ,3.42
202305  ,-6.61  ,-3.51  ,-3.19  ,-5.96  ,-5.39  ,-4.24
202306   ,0.48   ,2.64   ,3.25   ,4.15   ,3.66   ,5.78
202307   ,3.31   ,2.67   ,4.08   ,6.22   ,3.51   ,2.66
202308  ,-6.33  ,-3.39  ,-3.74  ,-5.27  ,-4.14  ,-3.83
202309  ,-6.08  ,-5.20  ,-5.53  ,-4.31  ,-4.35  ,-5.55
202310  ,-7.56  ,-5.44  ,-5.15  ,-4.26  ,-4.49  ,-5.23
202311   ,7.40   ,6.81   ,8.58  ,11.61  ,10.36  ,11.47
202312   ,7.35   ,5.39   ,6.48   ,8.31   ,6.42   ,4.08
202401  ,-2.47  ,-1.45  ,-1.16  ,-3.41  ,-2.61  ,-0.33
202402  ,-3.53  ,-1.21   ,0.05  ,-0.63   ,0.77   ,2.61
202403  ,-0.65   ,1.01   ,1.80   ,3.89   ,3.32   ,3.50
202404  ,-1.42  ,-0.09  ,-0.05  ,-1.94  ,-1.81  ,-2.66
202405   ,6.43   ,5.74   ,7.38   ,5.86   ,5.46   ,7.59
202406  ,-4.02  ,-2.91  ,-3.00  ,-5.12  ,-3.14  ,-2.99
202407   ,1.30   ,2.28   ,4.33   ,4.61   ,2.97   ,3.68
202408   ,0.89   ,2.06   ,2.33   ,2.64   ,3.04   ,3.74
202409  ,-1.43   ,0.25   ,0.22   ,2.44   ,2.25   ,1.16
202410  ,-5.78  ,-4.44  ,-5.03  ,-6.73  ,-5.30  ,-4.81
202411  ,-5.60  ,-2.47  ,-2.17  ,-3.22  ,-1.27  ,-1.38
202412  ,-1.09  ,-0.61  ,-1.48  ,-2.14  ,-2.28  ,-2.36
202501   ,2.52   ,1.91   ,2.48   ,4.82   ,5.20   ,5.91
202502   ,0.20   ,2.01   ,0.88   ,1.57   ,2.70   ,3.92
202503   ,2.43   ,2.63   ,3.10  ,-0.08   ,2.21   ,2.74
202504   ,4.48   ,5.44   ,6.23   ,4.98   ,5.60   ,7.41
202505   ,6.68   ,6.05   ,7.08   ,5.36   ,5.62   ,7.84
202506   ,6.45   ,5.86   ,7.10   ,2.83   ,3.71   ,4.26
202507  ,-1.33  ,-1.35   ,0.34  ,-3.13  ,-2.35   ,0.40
202508   ,3.24   ,3.55   ,4.93   ,3.82   ,2.74   ,3.18



  Average Value Weighted Returns -- Annual
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
1991  ,-2.03   ,0.23  ,18.99   ,8.41   ,9.72  ,12.62
1992 ,-25.84 ,-13.78  ,-9.12 ,-16.13  ,-5.31  ,-2.65
1993  ,31.92  ,27.23  ,42.61  ,29.92  ,26.92  ,30.29
1994  ,11.55  ,11.84  ,12.61   ,5.37   ,1.28   ,0.81
1995  ,-1.49  ,10.58  ,25.97   ,7.62  ,19.30  ,29.08
1996   ,6.33  ,21.04  ,38.27  ,16.02  ,22.42  ,26.06
1997   ,4.27   ,9.50  ,17.67  ,16.99  ,19.27  ,26.89
1998  ,-0.69  ,11.40  ,27.85  ,21.90  ,29.68  ,29.64
1999  ,14.12  ,10.67  ,73.25  ,19.52   ,9.62  ,33.04
2000  ,-8.00   ,0.60 ,-22.46   ,0.09   ,2.80 ,-28.77
2001 ,-33.59  ,-5.90  ,-8.43 ,-31.05 ,-17.13 ,-11.83
2002 ,-30.94   ,0.87  ,20.59 ,-33.32  ,-9.66   ,1.92
2003  ,74.65  ,53.83  ,59.32  ,47.73  ,40.84  ,32.16
2004  ,23.19  ,35.40  ,37.21  ,20.79  ,23.76  ,24.99
2005   ,4.49  ,15.89  ,32.71   ,7.74  ,12.09  ,16.67
2006  ,34.99  ,43.10  ,54.03  ,31.82  ,35.43  ,45.24
2007  ,-4.34   ,9.01  ,15.98   ,5.80  ,17.21  ,24.93
